column,group,description,note
IDKABKOT,Identity,Kode wilayah kabupaten/kota (BPS),
NAMA_KAB,Identity,Nama kabupaten/kota,
y,SUSENAS (direct estimation),Jumlah rumah tangga berstatus CHE (Catastrophic Health Expenditure) di kabupaten/kota tsb,
n,SUSENAS (direct estimation),Jumlah rumah tangga tersurvei (sampel) di kabupaten/kota tsb,
est_prop,SUSENAS (direct estimation),Estimasi proporsi CHE hasil direct estimation (= y/n dengan pembobotan survei) -- response variable,
rse_prop,SUSENAS (direct estimation),Relative Standard Error dari est_prop (NA jika est_prop = 0),
proporsi_R704AK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Rumah Sakit,
proporsi_R704BK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Rumah Sakit Bersalin,
proporsi_R704CK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Puskesmas dengan rawat inap,
proporsi_R704DK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Puskesmas tanpa rawat inap,
proporsi_R704EK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Puskesmas Pembantu,
proporsi_R704FK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Poliklinik/Balai Pengobatan,
proporsi_R704GK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki tempat praktik dokter,
proporsi_R704HK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Rumah Bersalin,
proporsi_R704IK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki tempat praktik bidan,X1 -- digunakan sebagai auxiliary variable pada model
proporsi_R704JK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Pos Kesehatan Desa (poskesdes),X2 -- digunakan sebagai auxiliary variable pada model
proporsi_R704KK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Polindes (Pondok Bersalin Desa),
proporsi_R704LK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki Apotek,
proporsi_R704MK2,PODES -- R704 akses fasilitas kesehatan,Proporsi desa/kelurahan yang memiliki toko khusus obat/jamu,
proporsi_R705A,PODES -- R705 Posyandu/Posbindu,Proporsi desa/kelurahan yang memiliki Posyandu aktif,
proporsi_R705B,PODES -- R705 Posyandu/Posbindu,Proporsi desa/kelurahan dengan Posyandu berpelayanan rutin sebulan sekali,
proporsi_R705C,PODES -- R705 Posyandu/Posbindu,Proporsi desa/kelurahan dengan Posyandu berpelayanan tiap >= 2 bulan sekali,
proporsi_R705D,PODES -- R705 Posyandu/Posbindu,Proporsi desa/kelurahan yang memiliki Pos Pembinaan Terpadu (Posbindu),
proporsi_R705E,PODES -- R705 Posyandu/Posbindu,Proporsi desa/kelurahan yang memiliki kader pelaksana KB/Kesehatan Ibu-Anak,
proporsi_R706A1,PODES -- R706 tenaga kesehatan menetap,Proporsi desa/kelurahan dengan dokter pria menetap,
proporsi_R706A2,PODES -- R706 tenaga kesehatan menetap,Proporsi desa/kelurahan dengan dokter wanita menetap,
proporsi_R706B,PODES -- R706 tenaga kesehatan menetap,Proporsi desa/kelurahan dengan dokter gigi menetap,
proporsi_R706C,PODES -- R706 tenaga kesehatan menetap,Proporsi desa/kelurahan dengan bidan menetap,
proporsi_R706D,PODES -- R706 tenaga kesehatan menetap,Proporsi desa/kelurahan dengan tenaga kesehatan lain menetap,
proporsi_R805A,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga tuna netra (buta),
proporsi_R805B,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga tuna rungu (tuli),
proporsi_R805C,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga tuna wicara (bisu),
proporsi_R805D,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga tuna rungu-wicara (tuli-bisu),
proporsi_R805E,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga tuna daksa (disabilitas tubuh/kelumpuhan),
proporsi_R805F,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga tuna grahita (keterbelakangan mental),
proporsi_R805G,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga tuna laras (eks sakit jiwa),
proporsi_R805H,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga eks sakit kusta (sudah sembuh),
proporsi_R805I,PODES -- R805 disabilitas warga,Proporsi desa/kelurahan dengan warga penyandang cacat ganda,X3 -- digunakan sebagai auxiliary variable pada model
