idkab,nama_kab,kode_prov_2021,nama_prov_2021,kode_prov_2022,nama_prov_2022,n_kec,n_desa,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
9101,Fakfak,91,Papua Barat,91,Papua Barat,17,149,98.657718,94.630872,100.0,0.530201,0.107383,0.060403,0.073826,1.302013,0.771812,1.577181
9102,Kaimana,91,Papua Barat,91,Papua Barat,7,86,93.023256,84.883721,100.0,0.651163,0.151163,0.05814,0.151163,0.848837,1.523256,1.534884
9103,Teluk Wondama,91,Papua Barat,91,Papua Barat,13,76,90.789474,22.368421,100.0,0.5,0.184211,0.039474,0.184211,0.697368,1.065789,2.039474
9104,Teluk Bintuni,91,Papua Barat,91,Papua Barat,24,262,82.442748,83.969466,100.0,0.194656,0.091603,0.049618,0.099237,0.683206,0.591603,0.828244
9105,Manokwari,91,Papua Barat,91,Papua Barat,9,173,100.0,95.953757,100.0,0.601156,0.179191,0.092486,0.127168,1.242775,0.421965,0.843931
9106,Sorong Selatan,91,Papua Barat,92,Papua Barat Daya,15,123,87.804878,59.349593,100.0,0.243902,0.146341,0.04065,0.138211,1.292683,1.642276,2.479675
9107,Sorong,91,Papua Barat,92,Papua Barat Daya,30,257,98.44358,78.599222,100.0,0.385214,0.136187,0.058366,0.081712,0.692607,0.478599,0.607004
9108,Raja Ampat,91,Papua Barat,92,Papua Barat Daya,24,121,100.0,93.38843,100.0,0.570248,0.264463,0.14876,0.190083,0.933884,1.198347,2.07438
9109,Tambrauw,91,Papua Barat,92,Papua Barat Daya,29,215,87.44186,55.348837,100.0,0.162791,0.07907,0.04186,0.055814,0.353488,0.381395,0.172093
9110,Maybrat,91,Papua Barat,92,Papua Barat Daya,24,260,88.461538,59.230769,100.0,0.076923,0.042308,0.019231,0.057692,0.296154,0.4,0.996154
9111,Manokwari Selatan,91,Papua Barat,91,Papua Barat,6,57,92.982456,85.964912,100.0,0.473684,0.087719,0.105263,0.122807,0.912281,0.666667,1.175439
9112,Pegunungan Arfak,91,Papua Barat,91,Papua Barat,10,166,86.144578,98.192771,100.0,0.277108,0.078313,0.066265,0.054217,0.144578,0.246988,0.204819
9171,Kota Sorong,91,Papua Barat,92,Papua Barat Daya,10,41,100.0,100.0,100.0,1.04878,0.243902,0.268293,0.414634,2.585366,2.634146,2.97561
9401,Merauke,94,Papua,95,Papua Selatan,20,190,78.947368,85.263158,98.421053,0.657895,0.257895,0.157895,0.210526,1.373684,1.342105,1.652632
9402,Jayawijaya,94,Papua,97,Papua Pegunungan,40,332,17.168675,88.554217,100.0,0.222892,0.048193,0.021084,0.081325,0.472892,0.527108,0.695783
9403,Jayapura,94,Papua,94,Papua,19,144,93.75,89.583333,100.0,0.652778,0.194444,0.138889,0.194444,1.423611,1.013889,1.701389
