idkab,nama_kab,nama_prov,morbidity_rate,se,rse
9101,Fakfak,Papua Barat,6.24,0.73,11.62
9102,Kaimana,Papua Barat,9.1,1.0,11.02
9103,Teluk Wondama,Papua Barat,4.11,0.7,16.98
9104,Teluk Bintuni,Papua Barat,6.03,0.81,13.5
9105,Manokwari,Papua Barat,5.1,0.67,13.14
9106,Sorong Selatan,Papua Barat,4.22,0.58,13.68
9107,Sorong,Papua Barat,6.23,0.97,15.6
9108,Raja Ampat,Papua Barat,9.38,1.04,11.05
9109,Tambrauw,Papua Barat,9.36,1.38,14.7
9110,Maybrat,Papua Barat,6.76,0.87,12.86
9111,Manokwari Selatan,Papua Barat,6.25,2.41,38.62
9112,Pegunungan Arfak,Papua Barat,6.02,1.14,18.88
9171,Kota Sorong,Papua Barat,7.83,1.04,13.23
9401,Merauke,Papua,10.36,1.35,13.0
9402,Jayawijaya,Papua,4.53,0.76,16.75
9403,Jayapura,Papua,6.65,1.32,19.85
9404,Nabire,Papua,5.91,1.0,16.99
9408,Kepulauan Yapen,Papua,13.77,1.45,10.56
9409,Biak Numfor,Papua,8.27,1.13,13.62
9410,Paniai,Papua,2.31,0.82,35.71
9411,Puncak Jaya,Papua,1.13,0.48,42.52
9412,Mimika,Papua,10.01,1.47,14.72
9413,Boven Digoel,Papua,8.16,1.05,12.89
9414,Mappi,Papua,5.64,0.85,15.12
9415,Asmat,Papua,3.75,0.67,17.96
9416,Yahukimo,Papua,3.13,0.54,17.09
9417,Pegunungan Bintang,Papua,6.58,0.85,12.87
9418,Tolikara,Papua,3.61,0.68,18.8
9419,Sarmi,Papua,3.19,0.58,18.07
9420,Keerom,Papua,7.69,0.9,11.69
9426,Waropen,Papua,8.78,1.21,13.73
9427,Supiori,Papua,4.94,1.05,21.19
9428,Mamberamo Raya,Papua,5.26,1.89,35.85
9429,Nduga,Papua,6.04,0.75,12.47
9430,Lanny Jaya,Papua,1.04,0.34,32.8
9431,Mamberamo Tengah,Papua,8.2,0.74,9.09
9432,Yalimo,Papua,7.29,0.82,11.21
9433,Puncak,Papua,1.01,0.29,28.45
9434,Dogiyai,Papua,1.11,0.27,23.81
9435,Intan Jaya,Papua,3.95,0.98,24.86
9436,Deiyai,Papua,,,60.63
9437,Kota Jayapura,Papua,8.9,1.2,13.47
